,Precision,Recall,F1_Score
covid,0.20666666666666667,0.9117647058823529,0.33695652173913043
economic,0.86,0.6615384615384615,0.7478260869565216
education,0.0,0.0,0.0
environmental,0.9285714285714286,0.78,0.8478260869565218
foreign policy,0.8378378378378378,0.7209302325581395,0.7749999999999999
governance,0.6551724137931034,0.17272727272727273,0.2733812949640288
health,1.0,0.010869565217391304,0.021505376344086023
immigration,1.0,0.7,0.8235294117647058
military,0.8636363636363636,0.7037037037037037,0.7755102040816326
safety,0.8627450980392157,0.6197183098591549,0.7213114754098361
social cultural,0.8214285714285714,0.2948717948717949,0.4339622641509434
social programs,0.8852459016393442,0.72,0.7941176470588235
