,Precision,Recall,F1_Score
covid,0.9411764705882353,0.9411764705882353,0.9411764705882353
economic,0.8627450980392157,0.676923076923077,0.7586206896551725
education,0.8275862068965517,0.8275862068965517,0.8275862068965518
environmental,0.8958333333333334,0.86,0.8775510204081632
foreign policy,0.9354838709677419,0.6744186046511628,0.7837837837837838
governance,0.8333333333333334,0.5,0.625
health,0.9215686274509803,0.5108695652173914,0.6573426573426574
immigration,1.0,0.8,0.8888888888888888
military,0.8571428571428571,0.6666666666666666,0.7499999999999999
safety,0.8518518518518519,0.647887323943662,0.736
social cultural,0.8913043478260869,0.5256410256410257,0.6612903225806451
social programs,0.8852459016393442,0.72,0.7941176470588235
