,Precision,Recall,F1_Score
covid,0.20512820512820512,0.9411764705882353,0.3368421052631579
economic,0.8205128205128205,0.7384615384615385,0.7773279352226721
education,0.8275862068965517,0.8275862068965517,0.8275862068965518
environmental,0.7049180327868853,0.86,0.7747747747747747
foreign policy,0.66,0.7674418604651163,0.7096774193548386
governance,0.35294117647058826,0.6545454545454545,0.45859872611464975
health,0.9038461538461539,0.5108695652173914,0.6527777777777778
immigration,0.9629629629629629,0.8666666666666667,0.9122807017543859
military,0.8214285714285714,0.8518518518518519,0.8363636363636364
safety,0.8245614035087719,0.6619718309859155,0.7343749999999999
social cultural,0.6486486486486487,0.6153846153846154,0.6315789473684211
social programs,0.8852459016393442,0.72,0.7941176470588235
