,Precision,Recall,F1_Score
covid,1.0,0.9117647058823529,0.9538461538461539
economic,0.9629629629629629,0.4,0.5652173913043479
education,0.9545454545454546,0.7241379310344828,0.8235294117647058
environmental,0.9761904761904762,0.82,0.8913043478260869
foreign policy,0.95,0.4418604651162791,0.6031746031746031
governance,0.9130434782608695,0.38181818181818183,0.5384615384615384
health,0.9565217391304348,0.4782608695652174,0.6376811594202899
immigration,1.0,0.6333333333333333,0.7755102040816326
military,0.8571428571428571,0.4444444444444444,0.5853658536585366
safety,1.0,0.4788732394366197,0.6476190476190475
social cultural,1.0,0.3717948717948718,0.5420560747663551
social programs,0.9473684210526315,0.72,0.8181818181818181
