Gold Label,words,m_label,economic,environmental,foreign policy,governance,immigration,military,safety,social cultural,social programs,covid,health,education
"social programs,economic","school,jobs,wages",economic,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,school
economic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
governance,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,campaign,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,fraud,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
governance,"giant corporations,corporations,regulators,treatment,jobs",economic,"jobs,corporations,regulators,giant corporations",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,treatment,0.0
governance,diplomatic,no topic,0.0,0.0,diplomatic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
environmental,"fuel companies,fuel,climate,climate crisis,fossil,fossil fuel",environmental,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,"wealthy,inaugural committee",economic,wealthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"governance,foreign policy","congress,iran,militarily",foreign policy,0.0,0.0,Correct label,0.0,0.0,militarily,0.0,0.0,0.0,0.0,0.0,0.0
"military,foreign policy","u.s. troops,expenditure,iraqi,iraq,troops","foreign policy,military",expenditure,0.0,Correct label,0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0
"covid,health,economic","covid-19,economic","covid,economic",Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,0.0,0.0
"health,social programs,economic","small business,employee,healthcare,business","economic,social programs",Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,0.0,healthcare,0.0
no topic,jail,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
governance,"surveillance,campaign",no topic,0.0,0.0,0.0,0.0,0.0,0.0,surveillance,0.0,0.0,0.0,0.0,0.0
governance,"impeachment,president",no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,commander in chief,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"health,social programs","drugs,plan,president",safety,0.0,0.0,0.0,0.0,0.0,0.0,drugs,0.0,0.0,0.0,0.0,0.0
governance,president,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
governance,campaign,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"covid,foreign policy,health,immigration","chinese virus,china,chinese,virus,borders","covid,foreign policy,immigration",0.0,0.0,Correct label,0.0,Correct label,0.0,0.0,0.0,0.0,Correct label,0.0,0.0
"covid,health,social programs","vaccine,plan,coronavirus","covid,social programs",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,Correct label,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
